play_name,probability,average_score,
full_house,11.1142,28,
poker,5.8674,24,
high_straight,4.581,20,
pairs,99.9183,12,
yahtzee,0.2243,50,
low_straight,4.5589,15,
threes,93.5183,4.904569479984131,
fours,93.4998,6.5416824421014805,
fives,93.4939,8.177496071936243,
aces,93.4923,1.635771074195415,
sixes,93.4899,9.810719660626441,
twos,93.4898,3.2711589927457325,
high_card,100,5.932678,
small_michi,34.5037,15,
twins,29.0553,18,
two_pairs,61.1377,16,
satan,10.2822,41.03504113905584,
heavenly_grace,9.084,15,
triple_oil_monkey,7.4973,32.48556146879543,
fake_yahtzee,5.8875,35,
three_of_a_kind,51.2296,18,
power_michi,1.232,25,
four_stars,0.9622,40,
four_towers,0.9491,38,
skip,100,-1,
lowest_card,100,-1.067169,
koopa,100,-14.26143,
bowser,100,-28.5266,
big_bowser,100,-42.784716,
reaper,100,-22.839136,
trader,97.6876,-6.920307183306786,
bomb,6.4872,-20,
sum_choice,100,20.740255,
ocean_blue,3.0541,20,
casino,25.342,10,
