play_name,probability,average_score,
two_pairs,61.0985,16,
full_house,11.1205,24,
three_of_a_kind,51.365,18,
dirty_straight,39.3885,20,
pairs,99.9155,12,
poker,5.8955,28,
yahtzee,0.242,50,
sum_choice,100,20.74806,
twos,93.5295,3.267439684805329,
high_straight,4.5425,30,
fours,93.494,6.535692129976256,
sixes,93.463,9.805313332548709,
threes,93.429,4.908438493401406,
high_card,100,5.932005,
small_michi,34.446,15,
fives,93.5295,8.178809894204502,
aces,93.5895,1.633692882214351,
satan,10.2715,41.0655697804605,
twins,29.0205,18,
triple_oil_monkey,7.529,32.45450923097357,
fake_yahtzee,6.0245,30,
ocean_blue,3.0775,22.017221770917953,
power_michi,1.2735,30,
four_stars,0.9785,40,
four_towers,0.967,40,
skip,100,-1,
heavenly_grace,9.0615,20,
koopa,100,-14.25905,
bowser,100,-28.52036,
casino,25.489,17.592451645807994,
low_straight,4.532,20,
big_bowser,100,-42.78855,
bomb,6.505,-20,
reaper,100,-22.93687,
lowest_card,100,-1.067105,
trader,97.6685,-6.900249312726212,
